id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
277574339,2018136311966,"Mạnh mẽ, tinh tếCủ sạc nhanh mới với tính năng Sạc Siêu Nhanh 25W, dành cho thiết bị tương thích với cáp sạc USB Type-C.*Sạc siêu nhanh (SFC) là công nghệ sạc của Samsung dựa trên Power D...",540000,540000,,0,0,37,,available,,1000,1000,,18802,Samsung
277777809,9577984103187,"Điện thoại Samsung Galaxy A26 5G (8/128GB) - Awesome Intelligence - Circle to Search - Chụp nét tìm nhanh, bắt trend càng xịnThông số kỹ thuậtMàn Hình- Công nghệ màn hình: Super AMOL...",6990000,6990000,,0,0,28,,available,,1000,1000,,18802,Samsung
278974811,9890522328109,    ...,4990000,4990000,,0,0,1,,available,,1000,1000,,18802,Samsung
279257510,3950658154487,...,12490000,12490000,,0,0,0,,available,,1000,1000,,18802,Samsung
279188180,1817391609595,"Dễ dàng mang theo. Sẵn sàng tỏa sángChỉ mỏng 6,6 mm, Galaxy Tab S10 Lite có thiết kế siêu mỏng, nhẹ, dễ dàng mang theo mọi lúc mọi nơi. Dù bạn bỏ vào túi xách, balo hay cầm tay, chiếc máy tính bản...",11990000,11990000,,0,0,0,,available,,1000,1000,,18802,Samsung
279257463,1705548822907,...,10990000,10990000,,0,0,1,,available,,1000,1000,,18802,Samsung
279204182,6321896340067, mang đến trải nghiệm cao cấp bên trong thiết kế gọn gàng với màn hình Super Retina XDR 6.1 inch. Sản phẩm sở hữu chip Apple A19 thế hệ mới và hệ thống camera 48 MP kết hợp Telephoto 2x 12 MP. Với khả...,17250000,17990000,,740000,4,0,,available,,1000,1000,,17827,Apple
279185853,2798417748791,...,33190000,36990000,,3800000,10,0,,available,,1000,1000,,18802,Samsung
279185974,9962193705726,Updating...,550000,550000,,0,0,2,,available,,1000,1000,,18802,Samsung
279185812,5958063090388,...,23290000,25990000,,2700000,10,0,,available,,1000,1000,,18802,Samsung
279185842,9661637533406,...,26890000,29990000,,3100000,10,0,,available,,1000,1000,,18802,Samsung
279122014,1896391465744," • Màn hình lớn sắc nét, hiển thị sống động cho giải trí & làm việc• RAM 12GB – đa nhiệm mượt, mở nhiều ứng dụng cùng lúc• Bộ nhớ 256GB lưu trữ rộng rãi ảnh, video & ứng dụng• Hệ thống came...",8290000,10090000,,1800000,18,0,,available,,1000,1000,,25422,Xiaomi
279121902,5430908829507,...,4390000,4390000,,0,0,0,,available,,1000,1000,,18802,Samsung
279077550,2411064482914,"Những điểm nổi bật của OPPO Reno15 F 5GCông nghệ OPPO Glow tiên tiến kết hợp quy trình phủ họa tiết 3D tinh tế, tạo nên hơn 1.000.000 vân ánh sáng, mỗi góc xoay đều gợi cảm giác như một dải ngân hà ...",10490000,11990000,,1500000,13,0,,available,,1000,1000,,25643,OPPO
279077078,4300409684722,"OPPO A5x 128GB mang đến trải nghiệm trọn vẹn với thiết kế sang trọng, hiệu năng ổn định và độ bền chuẩn quân đội. Hai phiên bản màu cá tính cùng vẻ ngoài tinh tế tạo lựa chọn hoàn hảo cho người dùng n...",3850000,3990000,,140000,4,0,,available,,1000,1000,,25643,OPPO
279076941,1150430255528,"  OPPO A5x không chỉ là smartphone bền bỉ, mà còn kết hợp thiết kế thời thượng và hiệu suất ổn định. Với vẻ ngoài tinh tế, hai phiên bản màu cá tính và độ bền chuẩn quân đội, máy phù hợp người...",3490000,3490000,,0,0,1,,available,,1000,1000,,25643,OPPO
278917500,9838976200666,"Với màn hình lớn, hiệu năng vừa đủ, pin bền bỉ và camera sắc nét, POCO C71 đáp ứng tốt các nhu cầu cơ bản hằng ngày như xem phim, học tập, chụp ảnh hay liên lạc. Đây là lựa chọn đáng cân nhắc cho học ...",1990000,1990000,,0,0,1,,available,,1000,1000,,406575,POCO
278917445,4857813908264," Điện thoại Honor X6c (6GB – 128GB) – Hàng Chính HãngHonor X6c là mẫu smartphone nổi bật trong phân khúc tầm trung nhờ thiết kế thời thượng, hiệu năng mạnh mẽ và dung lượng lưu trữ lớn. Đây là lựa ch...",3490000,3490000,,0,0,6,,available,,1000,1000,,161535,Honor
278917409,7780070223728,"Kiểu dáng chắc chắn, đa dạng màu sắcVề phần thiết kế, Xiaomi Redmi Note 14 Pro sở hữu thân máy liền khối, góp phần tăng cường độ bền chắc và tạo nên vẻ ngoài liền mạch, tinh tế. Các góc máy được bo t...",5990000,6990000,,1000000,14,1,,available,,1000,1000,,25422,Xiaomi
278917392,3219105584213,"Kiểu dáng chắc chắn, đa dạng màu sắcVề phần thiết kế, Xiaomi Redmi Note 14 Pro sở hữu thân máy liền khối, góp phần tăng cường độ bền chắc và tạo nên vẻ ngoài liền mạch, tinh tế. Các góc máy được bo t...",5190000,6290000,,1100000,17,1,,available,,1000,1000,,25422,Xiaomi
278905783,7379703667976,"Với thiết kế hiện đại, màn hình tần số quét cao và camera ấn tượng, Tecno Spark 30 5G đang trở thành lựa chọn hàng đầu trong phân khúc smartphone 5G tầm trung. Spark 30 5G hứa hẹn sẽ mang lại trải ng...",2750000,3490000,,740000,21,1,,available,,1000,1000,,162007,Tecno
278890829,8877388822450,"Galaxy A17 5G - Mỏng Nhẹ Thời Thượng, Tinh Tế Trên Tay...",5490000,5490000,,0,0,2,,available,,1000,1000,,18802,Samsung
278882976,2717723109279,Update...,3990000,3990000,,0,0,2,,available,,1000,1000,,18802,Samsung
278882411,3153331698979,"Sở hữu thiết kế mỏng nhẹ, màn hình lớn sắc nét, hiệu năng ổn định và pin bền bỉ, thiết bị này giúp bạn dễ dàng học tập, làm việc hay giải trí suốt cả ngày. Gọn gàng nhưng mạnh mẽ, Xiaomi Redmi Pad 2 6...",4150000,5690000,,1540000,27,0,,available,,1000,1000,,25422,Xiaomi
278814626,7418649658706,"Màn hình 6.9 inch Dot Drop, độ phân giải HD+, tần số quét 120Hz hiển thị mượt màVi xử lý MediaTek Helio G81 Ultra 12nm, hiệu năng ổn định cho các tác vụ hàng ngàyRAM 6GB/4GB + ROM 128GB, hỗ trợ ...",3690000,3690000,,0,0,0,,available,,1000,1000,,25422,Xiaomi
278796276,1198141312994, ...,3990000,5190000,,1200000,23,11,,available,,1000,1000,,25422,Xiaomi
278630285,4132370800783,...,23750000,31990000,,8240000,26,11,,available,,1000,1000,,17827,Apple
278630241,8067419385266,...,24490000,24990000,,500000,2,15,,available,,1000,1000,,17827,Apple
278628866,3071652703327,1...,37250000,37990000,,740000,2,61,,available,,1000,1000,,17827,Apple
278628812,2693455498586,...,34490000,34990000,,500000,1,24,,available,,1000,1000,,17827,Apple
278505394,6585001257777,"Galaxy A17 - Bắt Ảnh Nét Căng, Trăm Phần Ưng Ý...",4390000,5190000,,800000,15,4,,available,,1000,1000,,18802,Samsung
278250048,7541486607422,  ...,1890000,2740000,,850000,31,2,,available,,1000,1000,,25422,Xiaomi
278219968,4454318932218,"Chiếc điện thoại bền bỉ, hiệu suất tốt bởi cấu hình từ Snapdragon 6s 4G Gen 1, pin siêu lớn 5.100mAh, sạc nhanh 45W, độ bền chuẩn quân đội và kháng bụi/nước IP54.Đạt chuẩn độ bền quân đội bền bỉOP...",5290000,5290000,,0,0,15,,available,,1000,1000,,25643,OPPO
278219837,2917206067845, ...,3850000,4690000,,840000,18,1,,available,,1000,1000,,25643,OPPO
277619147,5159274775892,...,9350000,9990000,,640000,6,70,,available,,1000,1000,,17827,Apple
277553639,5896455061625,Điện thoại Samsung Galaxy A06 5G (4/128GB)Điện thoại 5G - Số 1 về giá trong Galaxy AThông số kỹ thuậtMàn Hình- Công nghệ màn hình: PLS LCD- Độ phân giải: 720 x 1600 (HD+)- Kích thước: 6.7 ...,3920000,3920000,,0,0,30,,available,,1000,1000,,18802,Samsung
277512620,8254747076815,"Điện Thoại Samsung Galaxy A36 5G 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, cáp sạc, dụng cụ lấy sim, sách hướng dẫn.Màn hình Super AMOLED 6,7 inch ấn tượng- Trang bị màn hình kích...",7139000,8290000,,1151000,14,4,,available,,1000,1000,,18802,Samsung
276110349,1869189483085,...,18990000,22990000,,4000000,17,37,,available,,1000,1000,,17827,Apple
271530789,9122177442751,"LƯU Ý VỀ QUẢNG CÁO TRÊN KINDLE (MÀN HÌNH CHỜ/ẢNH BÌA).... (cập nhật tháng 10/2024)Thông thường bản Kids Edititon thường sẽ tự động cập nhật thành bản không có quảng cáo. Tuy nhiên, trong trường hợp b...",4790000,4790000,,0,0,3,,available,,1000,1000,,147856,Kindle
197214029,1840508024491,"Nội dung quảng cáoiPhone 14. Với hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chụp những bức ảnh tuyệt đẹp trong điều kiện từ thiếu sáng đến dư sáng. Phát hiện Va Chạm,1 một tính năng an t...",13490000,17990000,,4500000,25,173,,available,,1000,1000,,17827,Apple
184059211,3643515408223,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,11990000,12990000,,1000000,8,2059,,available,,1000,1000,,17827,Apple
163914808,3951612829798,"Treo tường hoặc để bànĐiều chỉnh âm lượng, chuôngQuay số nhanhĐèn tín hiệuSản xuất tại MalaysiaBảo hành 1 năm chính hãng Panasonic Giá bán đã thuế 10% VAT...",320000,320000,,0,0,139,,available,,1000,1000,,18804,Panasonic
4048043,5352269298151,"Thiết kế nổi bật, tiện íchĐiện Thoại Bàn Panasonic KX-TS500 được thiết kế đơn giản, thanh thoát nhưng rất sang trọng. Với màu sắc bắt mắt KX-TS500 làm cho căn phòng của bạn thêm nổi bật. Máy thích hợ...",369000,369000,,0,0,26,,available,,1000,1000,,18804,Panasonic
279254874,1861360330016,"Máy Tính Bảng Xiaomi Redmi Pad 2 Pro Wifi 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, bộ sạc, cáp USB Type-C, hướng dẫn sử dụng nhanh, dụng cụ tháo thẻ nhớ SD. Màn hình giải trí sống ...",6939000,7990000,,1051000,13,0,,available,,1000,1000,,25422,Xiaomi
279254739,9784366540936,"Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim. Màn hình 6.9 inch Full HD+, tần số quét 144 Hz siêu mượt- ...",5399000,6690000,,1291000,19,0,,available,,1000,1000,,25422,Xiaomi
279231976,9979560999563,Mẫu  này trang bị chip xử lý ấn tượng trong một thiết kế mỏng nhẹ đặc trưng của dòng Air. Sự kết hợp này mang đến lựa chọn linh hoạt cho người dùng cần sự cân bằng giữa hiệu năng và tính di động cao....,16250000,16690000,,440000,3,1,,available,,1000,1000,,17827,Apple
279173456,6863430874498,"Điện Thoại Oppo A6 Pro 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn. Màn hình AMOLED 120Hz hiển thị chi tiết- Sở hữu màn hình...",7469000,8290000,,821000,10,0,,available,,1000,1000,,25643,OPPO
279077613,1885391037108," là mẫu smartphone kết hợp hài hòa giữa thiết kế thẩm mỹ và công nghệ hiện đại. Máy nổi bật với khả năng chụp ảnh chân dung chất lượng cao cùng hiệu năng mạnh mẽ từ phần cứng mới. Bên cạnh đó, OPPO Re...",14990000,16990000,,2000000,12,0,,available,,1000,1000,,25643,OPPO
279076946,8485356758669,"Điện Thoại Xiaomi Redmi Note 15 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Bộ sạc, cáp USB Type-C, dụng cụ tháo sim, ốp bảo vệ, hướng dẫn sử dụng. Màn hình cong lớn hiển thị rõ nét- Trang bị ...",4819000,5990000,,1171000,20,0,,available,,1000,1000,,25422,Xiaomi
279076844,4370456742636,"Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Bộ sạc, cáp USB Type-C, dụng cụ tháo sim, ốp bảo vệ, hướng dẫn sử dụng. Màn Hình Amoled siêu mượt- Trang bị màn h...",6159000,7490000,,1331000,18,0,,available,,1000,1000,,25422,Xiaomi
279076808,1417764621774,"Điện Thoại Xiaomi Redmi Note 15 Pro 12GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Bộ sạc, cáp USB Type-C, dụng cụ tháo sim, ốp bảo vệ, hướng dẫn sử dụng. Màn Hình AMOLED 120Hz Siêu Mượt- Trang ...",8319000,10090000,,1771000,18,0,,available,,1000,1000,,25422,Xiaomi
279075907,6702403414925,"Điện Thoại Oppo Reno15 F 5G 8GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn.  Màn hình lớn cho trải nghiệm siêu mượt- Trang bị t...",10499000,11990000,,1491000,12,0,,available,,1000,1000,,25643,OPPO
279075851,7779507868809,"Điện Thoại Oppo Reno15 5G 12GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, vỏ bảo vệ, sách hướng dẫn.  Màn hình AMOLED 6.59 inch hiển thị sống động- Trang...",14839000,16990000,,2151000,13,0,,available,,1000,1000,,25643,OPPO
279074852,8025511140749,"Điện Thoại Xiaomi Redmi 15C 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C,ốp lưng, hướng dẫn, cây tháo sim. Màn hình lớn, hiển thị mượt- Sở hữu màn hình lớn 6.9inch, man...",3589000,3990000,,401000,10,1,,available,,1000,1000,,25422,Xiaomi
279074841,5538611210781,"Điện Thoại Xiaomi POCO C85 6GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, sạc, cáp USB, dụng cụ lấy sim, sách hướng dẫn sử dụng. Màn hình LCD 6.9inch vượt trội- Trang bị tấm nền IPS LCD...",3049000,3690000,,641000,17,0,,available,,1000,1000,,25422,Xiaomi
