id,product_name,brand_name,short_description,original_price,price_after_voucher,discount_rate,discount_price,quantity_sold,rating_average,review_count,warranty_info,return_policy,url_img,date
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,Kindle,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3880000,3880000,0,0,1558,5.0,406,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/14/2f/c6/a161edd03cf817a13d4c3255d1467f0a.jpg,2024-11-29
217706932,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,Kindle,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3890000,3890000,0,0,497,5.0,128,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/5a/a9/fd/6fe6aa80db8a8c896ea852619df906f2.jpg,2024-11-29
271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",Kindle,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,4290000,3950000,8,340000,10,5.0,1,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/4d/65/eb/8cc241b558538e304ff89118215eb0f7.jpeg,2024-11-29
217645692,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 16Gb và Bao da - Hàng nhập khẩu,Kindle,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,4490000,4050000,10,440000,18,4.8,5,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/51/8f/6b/1d558fab3d6a12743156ccbdbe0f4f8f.jpg,2024-11-29
274550926,Điện thoại Realme C60 (4GB/64GB) - Hàng Chính Hãng,Realme,"Trải nghiệm xem ấn tượng với 90HzVới màn hình lớn đến 6.74 inch kết hợp cùng tần số quét màn hình 90Hz mượt mà, realme C60 hứa hẹn mang đến trải nghiệm màn hình lớn ấn tượng, hỗ trợ tối đa cho thao t...",2990000,2290000,23,700000,2084,5.0,10,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/8f/a1/59/b99d2763338e7f31878917cbb280de65.png,2024-11-29
276109904,Apple iPhone 16 Pro Max,Apple,...,34990000,33990000,3,1000000,571,5.0,73,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/be/d9/31/f9a8136c56b3a63ae3ecd46a14d3edae.jpg,2024-11-29
274171148,Điện thoại Oppo A38 (4GB/128GB) - Hàng Chính Hãng,OPPO,"Vẻ ngoài đơn giản tối ưu trải nghiệmẤn tượng đầu tiên của mình với OPPO A38 chính là ngoại hình nổi bật của nó. Thiết kế của OPPO A38 với hình dáng vuông vức, cùng với hiệu ứng chuyển đổi màu sắc độc...",3990000,3490000,13,500000,3689,4.8,11,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/f4/9f/c1/0b5a854f0cc4c3158f6eecb2ccde681c.jpg,2024-11-29
270975124,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,OPPO,"OPPO A58 - chiếc điện thoại kế nhiệm nhà OPPO dự kiến sẽ có những thiết kế nổi bật ngoài sự mong đợi. Điện thoại sở hữu cấu hình ấn tượng với chip Dimensity 700 và khả năng đa nhiệm của RAM 8G, bộ nhớ...",4990000,4090000,18,900000,9853,5.0,82,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/91/e7/7e/24461c4d1f848b11eaa4ff444f1ec5f9.jpg,2024-11-29
273252926,Điện Thoại Oppo A18 (4GB/128GB) - Hàng Chính Hãng,OPPO,"Thiết kế trẻ trung, chuyển màu huyền ảoMặc dù có mức giá phải chăng nhưng OPPO A18 đã được nhà sản xuất tạo hình cực kỳ trẻ trung hiện đại. Mặt lưng và khung viền của điện thoại được thiết kế vát phẳ...",3990000,3269000,18,721000,1,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/45/7e/6c/d2ea1abdc518f7120f31266dd612173c.jpg,2024-11-29
184059211,Apple iPhone 13,Apple,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,24990000,13090000,48,11900000,7854,5.0,2023,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/b7/ba/88/66059a54a3a139d45841d412379b1fe4.jpg,2024-11-29
273951550,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,Samsung,"Thiết kế và Màn hìnhĐiện Thoại Samsung Galazy A15 LTE (8GB/128GB) thiết kế viền nổi độc đáo Key Island, mang lại trải nghiệm cầm nắm khác biệt, chắc chắn và dễ dàng.Màn hình Super AMOLED 90Hz cho t...",4990000,3950000,21,1040000,510,5.0,91,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/78/0f/b0/aa318acd2b21d5929cdd56aa8b2d385c.png,2024-11-29
276110023,Apple iPhone 16 Pro,Apple,...,28990000,28790000,1,200000,141,5.0,17,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/30/f1/ec/bbde43f59e7724c4c474bb81f388f98e.jpg,2024-11-29
271973414,Apple iPhone 15 Pro Max,Apple,"Nội dung quảng cáoGiờ đây với thiết kế titan nhẹ và bền chắc, cùng chip A17 Pro cho khả năng đa nhiệm khủng. Bắt trọn những khoảnh khắc đặc biệt khi đang di chuyển với hệ thống camera chuyên nghiệp l...",33490000,28990000,13,4500000,3504,5.0,256,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/fa/1d/33/98a0ed962d4b27b6526a93fac7aab192.png,2024-11-29
273258825,Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,  ...,3950000,2890000,27,1060000,500,4.8,98,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/88/2b/33/cc61051d40b92a366c97dade90737644.png,2024-11-29
276110349,Apple iPhone 16,Apple,...,22990000,21990000,4,1000000,167,5.0,21,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/47/f5/68/47425f62a31015703ff60128baf676e1.jpg,2024-11-29
274101255,Máy Tính Bảng Samsung Galaxy Tab A9 Wifi 4GB/64GB - Hàng Chính Hãng,Samsung,"Thiết kế tinh tế, hợp xu hướngGalaxy Tab A9 được thiết kế nguyên khối với bộ khung kim loại cùng mặt lưng phẳng, góp phần mang đến một tổng thể liền lạc thống nhất. Ngoài ra, mặt lưng này còn được ho...",3490000,2550000,27,940000,532,4.8,106,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ee/89/c4/eb5c213c9896bcad8da52d112d99edcd.png,2024-11-29
270977740,Điện thoại Samsung Galaxy A54 5G - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,Samsung,...,6580000,6580000,0,0,0,5.0,50,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
271046571,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,"Vẻ ngoài thời trang cùng màu sắc mới mẻRedmi Note 12 được tạo hình bằng một vẻ ngoài quen thuộc với các cạnh cùng hai mặt vát phẳng tinh tế, những vị trí giao nhau giữa mặt lưng và bộ khung cũng sẽ đ...",3940000,3940000,0,0,0,4.8,192,No warranty info,No return policy,https://salt.tikicdn.com/ts/product/49/d2/66/355ca7fcb640bc197c927984d808a702.jpg,2024-11-29
205815576,"Apple iPad 10.9-inch (10th Gen) Wi-Fi, 2022",Apple,"Nội dung quảng cáoĐược thiết kế lại đầy màu sắc và giàu năng lực hơn bao giờ hết. Với chip A14 Bionic mạnh mẽ, các nhà giáo dục có thể giúp học sinh làm mọi việc từ phác thảo ý tưởng đến học lập trìn...",12990000,8990000,31,4000000,418,5.0,108,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/12/c2/4e/39c4f6b973b20a392afabfd4b3bdba44.png,2024-11-29
276110276,Apple iPhone 16 Plus,Apple,...,25990000,25750000,1,240000,64,5.0,7,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/b4/2c/b9/59569bb010e754e338314671c16c84a8.jpg,2024-11-29
271972435,Apple iPhone 15 Pro,Apple,"Nội dung quảng cáoiPhone 15 Pro. Được đúc từ titan và trang bị chip A17 Pro đột phá, nút Tác Vụ có thể tùy chỉnh, và hệ thống camera chuyên nghiệp linh hoạt hơn. Tính năng nổi bậtĐƯỢC ĐÚC TỪ TI...",24800000,24800000,0,0,0,4.8,117,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
275913708,Điện thoại Itel it8010 4G - Hàng Chính Hãng,Itel,Được hoàn thiện từ chất liệu nhựa cứng cứng cáp nên khi cầm vào khá chắc chắn. Các góc cạnh của máy được bo cong mềm mại mang đến cảm giác sử dụng thoải mái. Mặt sau không được trang bị camera nhưng h...,360000,350000,3,10000,440,4.7,9,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/ab/e0/7b/62980912a4da4a7caaefb7848143fde9.png,2024-11-29
275585819,Máy tính bảng Alcatel Tab 3T8 (2GB/32GB) - Hàng chính hãng,Alcatel,"Thiết kế cứng cápMáy tính bảng Alcatel 3T8 mỏng nhẹ với khối lượng 290 g, là người bạn lý tưởng khi bạn di chuyển. Màu sắc tinh tế cùng lớp nhám mờ hoàn thiện đặc biệt giúp bạn trông đẹp mắt ở bất cứ...",1290000,890000,31,400000,170,4.8,41,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/0c/7b/2f/4317baabcbbfbc05914191b0d5bc0bf4.png,2024-11-29
274101262,Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Hàng Chính Hãng,Samsung,"Samsung Galaxy Tab A9 Plus – Hiệu suất vượt trộiNằm trong phân khúc tầm trung, Galaxy Tab A9 Plus không đi kèm trái tim khủng như Galaxy S9 nhưng vẫn đem đến hiệu năng vượt trội so với đối thủ cùng p...",4130000,4130000,0,0,0,4.7,63,No warranty info,No return policy,https://salt.tikicdn.com/media/catalog/product/f5/15/2228f38cf84d1b8451bb49e2c4537081.png,2024-11-29
214756058,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,Kindle,"Sản phẩm đầu tiên thuộc dòng basic có độ phân giải 300ppiMáy đọc sách New Kindle 11th 2022 (16GB) được nâng cấp với màn hình độ phân giải 300ppi (so với 167ppi) của đời trước, cổng kết nối USB-Type C...",3190000,2950000,8,240000,745,5.0,128,12 Tháng,Đổi trả miễn phí trong 30 ngày,https://salt.tikicdn.com/ts/product/44/ba/3c/31b5a0b56c724d6a14bcf24b30500873.png,2024-11-29
