id,product_name,brand_name,original_price,price_after_voucher,discount_rate,discount_price,rating_average,review_count,warranty_info,return_policy,date,quantity_sold,quantity_sold_by_day,sale_by_day
197214029,Apple iPhone 14,Apple,24990000,16990000,32,8000000,5.0,156,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,638,0,0
271967379,Apple iPhone 15 Plus,Apple,25990000,22490000,13,3500000,4.8,40,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,267,0,0
271966786,Apple iPhone 15,Apple,22490000,19490000,13,3000000,5.0,100,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,517,0,0
271972435,Apple iPhone 15 Pro,Apple,24800000,24800000,0,0,4.8,117,No warranty info,No return policy,2024-11-01,0,0,0
276110276,Apple iPhone 16 Plus,Apple,25990000,25990000,0,0,5.0,6,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,59,0,0
205815576,"Apple iPad 10.9-inch (10th Gen) Wi-Fi, 2022",Apple,12990000,8990000,31,4000000,5.0,103,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,402,0,0
276110349,Apple iPhone 16,Apple,22990000,22490000,2,500000,5.0,17,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,142,0,0
271973414,Apple iPhone 15 Pro Max,Apple,33490000,28490000,15,5000000,5.0,249,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,3482,0,0
276110023,Apple iPhone 16 Pro,Apple,28990000,28790000,1,200000,5.0,15,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,126,0,0
184059211,Apple iPhone 13,Apple,24990000,13090000,48,11900000,5.0,2006,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,7725,0,0
276109904,Apple iPhone 16 Pro Max,Apple,34990000,34990000,0,0,5.0,55,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,410,0,0
184036446,Apple iPhone 11,Apple,15999000,9890000,38,6109000,4.8,3079,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,14463,0,0
275042829,Apple iPad Pro M4 11-Inch Wi-Fi,Apple,28990000,26990000,7,2000000,5.0,9,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,25,0,0
275042833,Apple iPad Pro M4 11-Inch Wi-Fi+ Cellular,Apple,34490000,30990000,10,3500000,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-01,2,0,0
275042833,Apple iPad Pro M4 11-Inch Wi-Fi+ Cellular,Apple,34490000,30990000,10,3500000,0.0,0,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,2,0,0
275042829,Apple iPad Pro M4 11-Inch Wi-Fi,Apple,28990000,26990000,7,2000000,5.0,9,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,25,0,0
184036446,Apple iPhone 11,Apple,15999000,9890000,38,6109000,4.8,3079,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,14463,0,0
276109904,Apple iPhone 16 Pro Max,Apple,34990000,34990000,0,0,5.0,55,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,441,31,1084690000
184059211,Apple iPhone 13,Apple,24990000,13090000,48,11900000,5.0,2006,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,7733,8,104720000
276110023,Apple iPhone 16 Pro,Apple,28990000,28790000,1,200000,5.0,15,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,128,2,57580000
271973414,Apple iPhone 15 Pro Max,Apple,33490000,28490000,15,5000000,5.0,249,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,3482,0,0
276110349,Apple iPhone 16,Apple,22990000,22490000,2,500000,5.0,17,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,142,0,0
205815576,"Apple iPad 10.9-inch (10th Gen) Wi-Fi, 2022",Apple,12990000,8990000,31,4000000,5.0,103,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,403,1,8990000
276110276,Apple iPhone 16 Plus,Apple,25990000,25990000,0,0,5.0,6,12 Tháng,Đổi trả miễn phí trong 30 ngày,2024-11-02,62,3,77970000
